ID,Topic,Seed Query,Query
0,9/11 conspiracy theories,9/11,9/11
1,9/11 conspiracy theories,9/11,9/11 footage ground zero
2,9/11 conspiracy theories,9/11,9/11 inside job
3,9/11 conspiracy theories,9/11,9/11 calls from plane
4,9/11 conspiracy theories,9/11,9/11 tribute
5,9/11 conspiracy theories,9/11 conspiracy,9/11 conspiracy
6,9/11 conspiracy theories,9/11 conspiracy,9/11 conspiracy theory shawn dawson
7,9/11 conspiracy theories,9/11 conspiracy,9/11 conspiracy debunked
8,9/11 conspiracy theories,9/11 conspiracy,9/11 conspiracy shane
9,9/11 conspiracy theories,9/11 conspiracy,conspiracy theories
10,9/11 conspiracy theories,9/11 conspiracy,conspiracy theories 9/11
11,Chemtrail conspiracy theory,chemtrail,Chemtrail
12,Chemtrail conspiracy theory,chemtrail,chemtrail pilot speaks out
13,Chemtrail conspiracy theory,chemtrail,chemtrail documentary
14,Chemtrail conspiracy theory,chemtrail,chemtrail plane up close
15,Chemtrail conspiracy theory,chemtrail,chemtrail pilot
16,Chemtrail conspiracy theory,chemtrail,Chemtrail 2018
17,Chemtrail conspiracy theory,chemtrail,chemtrail whistleblower
18,Chemtrail conspiracy theory,chemtrail,Chemtrail flu
19,Chemtrail conspiracy theory,chemtrail,Chemtrails
20,Chemtrail conspiracy theory,chemtrail,chemtrails exposed
21,Flat Earth (Topic),flat earth,flat earth
22,Flat Earth (Topic),flat earth,flat earth paradise
23,Flat Earth (Topic),flat earth,flat earth british
24,Flat Earth (Topic),flat earth,flat earth brothers channel
25,Flat Earth (Topic),flat earth,earth is flat
26,Flat Earth (Topic),flat earth,is the earth flat
27,Flat Earth (Topic),flat earth,flat earth proof
28,Flat Earth (Topic),flat earth,flat earth conspiracy
29,Vaccine controversies,vaccines,Vaccines
30,Vaccine controversies,vaccines,Vaccines revealed
31,Vaccine controversies,vaccines,Vaccines are toxic
32,Vaccine controversies,vaccines,Vaccines for babies
33,Vaccine controversies,vaccines,Vaccines calling the shots
34,Vaccine controversies,vaccines,vaccines penn and teller
35,Vaccine controversies,vaccines,anti vaxxers
36,Vaccine controversies,vaccines,anti vax
37,Vaccine controversies,vaccines,anti vaccine
38,Vaccine controversies,vaccines,anti vaccination
39,Vaccine controversies,vaccines,vaccine debate
40,Moon landing conspiracy theories,moon landing,moon landing
41,Moon landing conspiracy theories,moon landing,moon landing steph curry
42,Moon landing conspiracy theories,moon landing,moon landing china
43,Moon landing conspiracy theories,moon landing,moon landing song
44,Moon landing conspiracy theories,moon landing,moon landing audio
45,Moon landing conspiracy theories,moon landing,moon landing fake
46,Moon landing conspiracy theories,moon landing,moon landing conspiracy
47,Moon landing conspiracy theories,moon landing,moon
48,Moon landing conspiracy theories,moon landing,moon hoax
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
